county	state	county_comfired	county_new	Death	County_deaths_new	Fatality_ratio
New York	New York	150,976	0	16,388	0	10.9%
Nassau	New York	32,124	0	1,471	0	4.6%
Suffolk	New York	30,267	0	959	0	3.2%
Westchester	New York	25,959	0	863	0	3.3%
Rockland	New York	9,828	0	436	0	4.4%
Orange	New York	7,470	0	268	0	3.6%
Erie	New York	2,594	0	188	0	7.2%
Dutchess	New York	2,460	0	35	0	1.4%
Monroe	New York	1,171	0	91	0	7.8%
Ulster	New York	1,095	0	21	0	1.9%
Putnam	New York	900	0	7	0	0.8%
Albany	New York	758	0	30	0	4%
Onondaga	New York	724	0	23	0	3.2%
Sullivan	New York	630	0	17	0	2.7%
Schenectady	New York	373	0	15	0	4%
Niagara	New York	326	0	18	0	5.5%
Oneida	New York	324	0	11	0	3.4%
Saratoga	New York	293	0	7	0	2.4%
Broome	New York	224	0	15	0	6.7%
Steuben	New York	215	0	33	0	15.3%
Rensselaer	New York	213	0	10	0	4.7%
St. Lawrence	New York	151	0	0	0	0%
Genesee	New York	141	0	3	0	2.1%
Columbia	New York	138	0	13	0	9.4%
Madison	New York	125	0	5	0	4%
Tompkins	New York	124	0	0	0	0%
Warren	New York	119	0	0	0	0%
Greene	New York	112	0	0	0	0%
Ontario	New York	86	0	9	0	10.5%
Washington	New York	83	0	2	0	2.4%
Chenango	New York	82	0	0	0	0%
Chemung	New York	76	0	1	0	1.3%
Tioga	New York	68	0	4	0	5.9%
Delaware	New York	65	0	4	0	6.2%
Orleans	New York	65	0	5	0	7.7%
Clinton	New York	60	0	4	0	6.7%
Wayne	New York	60	0	0	0	0%
Oswego	New York	57	0	2	0	3.5%
Jefferson	New York	56	0	0	0	0%
Wyoming	New York	56	0	4	0	7.1%
Livingston	New York	55	0	5	0	9.1%
Herkimer	New York	54	0	3	0	5.6%
Otsego	New York	50	0	4	0	8%
Cayuga	New York	47	0	1	0	2.1%
Montgomery	New York	45	0	1	0	2.2%
Cattaraugus	New York	37	0	0	0	0%
Allegany	New York	32	0	2	0	6.3%
Cortland	New York	32	0	0	0	0%
Chautauqua	New York	29	0	3	0	10.3%
Fulton	New York	28	0	0	0	0%
Essex	New York	22	0	0	0	0%
Schoharie	New York	21	0	0	0	0%
Seneca	New York	18	0	0	0	0%
Franklin	New York	13	0	0	0	0%
Yates	New York	11	0	1	0	9.1%
Lewis	New York	9	0	0	0	0%
Schuyler	New York	8	0	0	0	0%
Hamilton	New York	3	0	0	0	0%
Unassigned	New York	0	0	0	0	0%
Bergen	New Jersey	14,049	0	907	0	6.5%
Hudson	New Jersey	12,681	0	666	0	5.3%
Essex	New Jersey	11,811	0	932	0	7.9%
Union	New Jersey	10,935	0	515	0	4.7%
Passaic	New Jersey	9,874	0	350	0	3.5%
Middlesex	New Jersey	9,530	0	396	0	4.2%
Ocean	New Jersey	5,444	0	286	0	5.3%
Monmouth	New Jersey	5,238	0	260	0	5%
Morris	New Jersey	4,680	0	324	0	6.9%
Mercer	New Jersey	2,991	0	163	0	5.4%
Somerset	New Jersey	2,798	0	196	0	7%
Camden	New Jersey	2,683	0	104	0	3.9%
Burlington	New Jersey	1,969	0	76	0	3.9%
Unassigned	New Jersey	1,108	0	0	0	0%
Gloucester	New Jersey	899	0	30	0	3.3%
Sussex	New Jersey	784	0	82	0	10.5%
Warren	New Jersey	719	0	60	0	8.3%
Atlantic	New Jersey	544	0	30	0	5.5%
Hunterdon	New Jersey	464	0	22	0	4.7%
Cumberland	New Jersey	424	0	5	0	1.2%
Cape May	New Jersey	236	0	16	0	6.8%
Salem	New Jersey	164	0	6	0	3.7%
Middlesex	Massachusetts	10,724	0	428	0	4%
Suffolk	Massachusetts	9,739	0	285	0	2.9%
Essex	Massachusetts	6,219	0	245	0	3.9%
Norfolk	Massachusetts	4,541	0	290	0	6.4%
Worcester	Massachusetts	3,798	0	133	0	3.5%
Plymouth	Massachusetts	3,529	0	141	0	4%
Hampden	Massachusetts	2,836	0	244	0	8.6%
Bristol	Massachusetts	2,181	0	96	0	4.4%
Unassigned	Massachusetts	737	0	407	0	55.2%
Barnstable	Massachusetts	708	0	22	0	3.1%
Berkshire	Massachusetts	418	0	29	0	6.9%
Hampshire	Massachusetts	367	0	10	0	2.7%
Franklin	Massachusetts	203	0	29	0	14.3%
Dukes and Nantucket	Massachusetts	23	0	1	0	4.3%
Los Angeles	California	17,567	30	798	1	4.5%
Riverside	California	3,218	0	100	0	3.1%
San Diego	California	2,643	0	100	0	3.8%
Santa Clara	California	1,987	0	95	0	4.8%
Orange	California	1,827	0	36	0	2%
San Bernardino	California	1,608	0	77	0	4.8%
Alameda	California	1,352	0	46	0	3.4%
San Francisco	California	1,302	0	21	0	1.6%
Sacramento	California	987	0	41	0	4.2%
San Mateo	California	966	0	39	0	4%
Contra Costa	California	770	0	23	0	3%
Kern	California	699	0	4	0	0.6%
San Joaquin	California	487	0	22	0	4.5%
Ventura	California	465	0	16	0	3.4%
Tulare	California	453	0	25	0	5.5%
Santa Barbara	California	451	0	5	0	1.1%
Fresno	California	419	0	7	0	1.7%
Stanislaus	California	258	7	5	0	1.9%
Imperial	California	232	0	8	0	3.4%
Sonoma	California	216	22	2	0	0.9%
Marin	California	209	0	11	0	5.3%
Solano	California	191	0	4	0	2.1%
Monterey	California	164	10	4	0	2.4%
Yolo	California	155	4	12	0	7.7%
San Luis Obispo	California	149	0	1	0	0.7%
Placer	California	136	0	8	0	5.9%
Santa Cruz	California	114	0	2	0	1.8%
Merced	California	100	0	3	0	3%
Napa	California	57	0	2	0	3.5%
Humboldt	California	52	0	0	0	0%
San Benito	California	47	0	2	0	4.3%
Sutter	California	44	0	3	0	6.8%
El Dorado	California	40	0	0	0	0%
Madera	California	39	0	2	0	5.1%
Nevada	California	36	0	1	0	2.8%
Kings	California	35	0	1	0	2.9%
Shasta	California	28	0	3	0	10.7%
Mono	California	24	0	1	0	4.2%
Inyo	California	19	0	0	0	0%
Butte	California	16	0	0	0	0%
Yuba	California	16	0	1	0	6.3%
Calaveras	California	13	0	0	0	0%
Amador	California	8	0	0	0	0%
Mendocino	California	8	3	0	0	0%
Lake	California	6	0	0	0	0%
Glenn	California	5	0	0	0	0%
Siskiyou	California	5	0	0	0	0%
Plumas	California	4	0	0	0	0%
Colusa	California	3	0	0	0	0%
Alpine	California	2	0	0	0	0%
Tuolumne	California	2	0	0	0	0%
Del Norte	California	2	0	0	0	0%
Tehama	California	1	0	1	0	100%
Unassigned	California	0	0	2	0	0%
Philadelphia	Pennsylvania	11,226	0	443	0	3.9%
Montgomery	Pennsylvania	3,395	0	230	0	6.8%
Delaware	Pennsylvania	2,902	0	123	0	4.2%
Lehigh	Pennsylvania	2,418	0	49	0	2%
Bucks	Pennsylvania	2,321	0	126	0	5.4%
Berks	Pennsylvania	2,212	0	86	0	3.9%
Luzerne	Pennsylvania	1,880	0	60	0	3.2%
Northampton	Pennsylvania	1,656	0	45	0	2.7%
Lancaster	Pennsylvania	1,359	0	107	0	7.9%
Allegheny	Pennsylvania	1,149	0	74	0	6.4%
Monroe	Pennsylvania	1,024	0	48	0	4.7%
Chester	Pennsylvania	989	0	67	0	6.8%
Lackawanna	Pennsylvania	707	0	58	0	8.2%
York	Pennsylvania	546	0	14	0	2.6%
Lebanon	Pennsylvania	544	0	8	0	1.5%
Dauphin	Pennsylvania	445	0	16	0	3.6%
Pike	Pennsylvania	327	0	12	0	3.7%
Beaver	Pennsylvania	319	0	47	0	14.7%
Westmoreland	Pennsylvania	307	0	20	0	6.5%
Schuylkill	Pennsylvania	290	0	5	0	1.7%
Columbia	Pennsylvania	245	0	7	0	2.9%
Cumberland	Pennsylvania	229	0	7	0	3.1%
Butler	Pennsylvania	164	0	6	0	3.7%
Carbon	Pennsylvania	155	0	11	0	7.1%
Franklin	Pennsylvania	151	0	10	0	6.6%
Adams	Pennsylvania	95	0	2	0	2.1%
Washington	Pennsylvania	92	0	2	0	2.2%
Wayne	Pennsylvania	87	0	3	0	3.4%
Northumberland	Pennsylvania	82	0	0	0	0%
Juniata	Pennsylvania	77	0	0	0	0%
Centre	Pennsylvania	76	0	2	0	2.6%
Susquehanna	Pennsylvania	72	0	4	0	5.6%
Fayette	Pennsylvania	71	0	3	0	4.2%
Erie	Pennsylvania	68	0	0	0	0%
Lawrence	Pennsylvania	61	0	5	0	8.2%
Mercer	Pennsylvania	60	0	1	0	1.7%
Indiana	Pennsylvania	59	0	4	0	6.8%
Montour	Pennsylvania	47	0	0	0	0%
Lycoming	Pennsylvania	44	0	2	0	4.5%
Armstrong	Pennsylvania	43	0	2	0	4.7%
Snyder	Pennsylvania	31	0	1	0	3.2%
Union	Pennsylvania	30	0	0	0	0%
Bradford	Pennsylvania	28	0	5	0	17.9%
Greene	Pennsylvania	25	0	0	0	0%
Mifflin	Pennsylvania	24	0	0	0	0%
Perry	Pennsylvania	23	0	1	0	4.3%
Bedford	Pennsylvania	20	0	1	0	5%
Cambria	Pennsylvania	20	0	2	0	10%
Clarion	Pennsylvania	20	0	1	0	5%
Huntingdon	Pennsylvania	20	0	0	0	0%
Somerset	Pennsylvania	20	0	0	0	0%
Crawford	Pennsylvania	19	0	0	0	0%
Wyoming	Pennsylvania	17	0	1	0	5.9%
Blair	Pennsylvania	15	0	0	0	0%
Tioga	Pennsylvania	14	0	2	0	14.3%
Clinton	Pennsylvania	14	0	0	0	0%
Clearfield	Pennsylvania	11	0	0	0	0%
Venango	Pennsylvania	7	0	0	0	0%
Forest	Pennsylvania	7	0	0	0	0%
McKean	Pennsylvania	5	0	0	0	0%
Potter	Pennsylvania	4	0	0	0	0%
Jefferson	Pennsylvania	4	0	0	0	0%
Fulton	Pennsylvania	2	0	0	0	0%
Elk	Pennsylvania	2	0	0	0	0%
Cameron	Pennsylvania	1	0	0	0	0%
Warren	Pennsylvania	1	0	1	0	100%
Sullivan	Pennsylvania	1	0	0	0	0%
Unassigned	Pennsylvania	0	0	0	0	0%
Cook	Illinois	25,811	0	1,142	0	4.4%
Lake	Illinois	2,540	0	100	0	3.9%
DuPage	Illinois	2,047	0	118	0	5.8%
Will	Illinois	1,885	0	119	0	6.3%
Kane	Illinois	863	0	39	0	4.5%
McHenry	Illinois	419	0	26	0	6.2%
St. Clair	Illinois	330	0	19	0	5.8%
Kankakee	Illinois	289	0	19	0	6.6%
Winnebago	Illinois	252	0	7	0	2.8%
Rock Island	Illinois	247	0	6	0	2.4%
Madison	Illinois	235	0	13	0	5.5%
Unassigned	Illinois	193	0	0	0	0%
Kendall	Illinois	171	0	5	0	2.9%
Champaign	Illinois	99	0	5	0	5.1%
Macon	Illinois	96	0	10	0	10.4%
McLean	Illinois	87	0	3	0	3.4%
Jefferson	Illinois	77	0	1	0	1.3%
Sangamon	Illinois	76	0	5	0	6.6%
Ogle	Illinois	71	0	1	0	1.4%
Randolph	Illinois	68	0	1	0	1.5%
Monroe	Illinois	60	0	8	0	13.3%
DeKalb	Illinois	56	0	1	0	1.8%
Peoria	Illinois	54	0	2	0	3.7%
Boone	Illinois	54	0	7	0	13%
Jackson	Illinois	53	0	7	0	13.2%
Clinton	Illinois	51	0	0	0	0%
Whiteside	Illinois	49	0	3	0	6.1%
Jasper	Illinois	40	0	2	0	5%
LaSalle	Illinois	39	0	1	0	2.6%
Henry	Illinois	33	0	0	0	0%
Warren	Illinois	31	0	0	0	0%
Tazewell	Illinois	30	0	3	0	10%
Adams	Illinois	29	0	0	0	0%
Christian	Illinois	26	0	4	0	15.4%
Grundy	Illinois	26	0	0	0	0%
Marion	Illinois	25	0	0	0	0%
Macoupin	Illinois	24	0	0	0	0%
Knox	Illinois	21	0	0	0	0%
Montgomery	Illinois	21	0	1	0	4.8%
Williamson	Illinois	19	0	0	0	0%
Livingston	Illinois	18	0	1	0	5.6%
Lee	Illinois	18	0	0	0	0%
Coles	Illinois	18	0	0	0	0%
Fayette	Illinois	15	0	2	0	13.3%
Iroquois	Illinois	14	0	0	0	0%
Morgan	Illinois	14	0	1	0	7.1%
Stephenson	Illinois	13	0	0	0	0%
Pulaski	Illinois	13	0	0	0	0%
Douglas	Illinois	12	0	0	0	0%
Jo Daviess	Illinois	11	0	0	0	0%
Woodford	Illinois	11	0	1	0	9.1%
Jersey	Illinois	11	0	0	0	0%
Crawford	Illinois	10	0	0	0	0%
Vermilion	Illinois	10	0	0	0	0%
Bureau	Illinois	8	0	0	0	0%
Ford	Illinois	8	0	1	0	12.5%
Franklin	Illinois	8	0	0	0	0%
Cass	Illinois	8	0	0	0	0%
Carroll	Illinois	7	0	2	0	28.6%
Washington	Illinois	7	0	0	0	0%
Piatt	Illinois	7	0	0	0	0%
Mercer	Illinois	6	0	0	0	0%
Mason	Illinois	6	0	0	0	0%
Union	Illinois	6	0	0	0	0%
Effingham	Illinois	5	0	1	0	20%
Shelby	Illinois	5	0	0	0	0%
Bond	Illinois	4	0	1	0	25%
Clark	Illinois	4	0	0	0	0%
Marshall	Illinois	4	0	0	0	0%
Menard	Illinois	4	0	0	0	0%
Logan	Illinois	4	0	0	0	0%
Hancock	Illinois	4	0	0	0	0%
McDonough	Illinois	4	0	0	0	0%
Massac	Illinois	3	0	0	0	0%
Saline	Illinois	3	0	0	0	0%
Perry	Illinois	3	0	0	0	0%
Johnson	Illinois	3	0	0	0	0%
Henderson	Illinois	3	0	0	0	0%
Cumberland	Illinois	2	0	0	0	0%
Moultrie	Illinois	2	0	0	0	0%
Gallatin	Illinois	2	0	0	0	0%
Lawrence	Illinois	2	0	0	0	0%
Richland	Illinois	2	0	0	0	0%
Greene	Illinois	2	0	0	0	0%
Clay	Illinois	2	0	0	0	0%
Alexander	Illinois	2	0	0	0	0%
Hamilton	Illinois	2	0	0	0	0%
De Witt	Illinois	1	0	0	0	0%
Pike	Illinois	1	0	0	0	0%
Calhoun	Illinois	1	0	0	0	0%
Wabash	Illinois	1	0	0	0	0%
Stark	Illinois	1	0	0	0	0%
Schuyler	Illinois	1	0	0	0	0%
Fulton	Illinois	1	0	0	0	0%
Wayne	Illinois	1	0	0	0	0%
White	Illinois	1	0	0	0	0%
Hardin	Illinois	1	0	0	0	0%
Wayne--Detroit	Michigan	8,317	0	799	0	9.6%
Wayne--Non Detroit	Michigan	6,677	0	597	0	8.9%
Oakland	Michigan	6,634	0	567	0	8.5%
Macomb	Michigan	4,862	0	493	0	10.1%
Genesee	Michigan	1,387	0	144	0	10.4%
Washtenaw	Michigan	960	0	42	0	4.4%
Kent	Michigan	815	0	27	0	3.3%
Michigan Department of Corrections (MDOC)	Michigan	759	0	28	0	3.7%
Saginaw	Michigan	507	0	38	0	7.5%
Ingham	Michigan	370	0	9	0	2.4%
Livingston	Michigan	312	0	11	0	3.5%
Jackson	Michigan	298	0	14	0	4.7%
St. Clair	Michigan	284	0	16	0	5.6%
Monroe	Michigan	255	0	10	0	3.9%
Kalamazoo	Michigan	229	0	11	0	4.8%
Muskegon	Michigan	191	0	12	0	6.3%
Berrien	Michigan	189	0	11	0	5.8%
Calhoun	Michigan	177	0	6	0	3.4%
Ottawa	Michigan	161	0	7	0	4.3%
Lapeer	Michigan	159	0	23	0	14.5%
Shiawassee	Michigan	125	0	6	0	4.8%
Eaton	Michigan	111	0	5	0	4.5%
Clinton	Michigan	105	0	8	0	7.6%
Bay	Michigan	102	0	2	0	2%
Hillsdale	Michigan	98	0	12	0	12.2%
Otsego	Michigan	83	0	6	0	7.2%
Lenawee	Michigan	80	0	0	0	0%
Tuscola	Michigan	76	0	12	0	15.8%
Federal Correctional Institution (FCI)	Michigan	66	0	0	0	0%
Allegan	Michigan	56	0	0	0	0%
Isabella	Michigan	54	0	7	0	13%
Midland	Michigan	51	0	3	0	5.9%
Alpena	Michigan	47	0	1	0	2.1%
Branch	Michigan	44	0	2	0	4.5%
Crawford	Michigan	43	0	2	0	4.7%
Out of State	Michigan	39	0	0	0	0%
Marquette	Michigan	35	0	6	0	17.1%
Van Buren	Michigan	35	0	2	0	5.7%
Sanilac	Michigan	34	0	4	0	11.8%
Ionia	Michigan	32	0	2	0	6.3%
Barry	Michigan	28	0	1	0	3.6%
Montcalm	Michigan	28	0	1	0	3.6%
St. Joseph	Michigan	27	0	1	0	3.7%
Cass	Michigan	23	0	2	0	8.7%
Emmet	Michigan	21	0	2	0	9.5%
Iosco	Michigan	21	0	3	0	14.3%
Grand Traverse	Michigan	19	0	5	0	26.3%
Kalkaska	Michigan	17	0	2	0	11.8%
Arenac	Michigan	15	0	1	0	6.7%
Cheboygan	Michigan	14	0	1	0	7.1%
Charlevoix	Michigan	13	0	1	0	7.7%
Mecosta	Michigan	13	0	1	0	7.7%
Delta	Michigan	12	0	2	0	16.7%
Manistee	Michigan	12	0	0	0	0%
Missaukee	Michigan	12	0	1	0	8.3%
Newaygo	Michigan	12	0	0	0	0%
Roscommon	Michigan	11	0	0	0	0%
Clare	Michigan	10	0	1	0	10%
Gladwin	Michigan	10	0	1	0	10%
Huron	Michigan	10	0	0	0	0%
Antrim	Michigan	9	0	0	0	0%
Gratiot	Michigan	8	0	1	0	12.5%
Leelanau	Michigan	8	0	0	0	0%
Ogemaw	Michigan	8	0	0	0	0%
Osceola	Michigan	8	0	0	0	0%
Presque Isle	Michigan	8	0	0	0	0%
Wexford	Michigan	7	0	1	0	14.3%
Mackinac	Michigan	5	0	0	0	0%
Mason	Michigan	5	0	0	0	0%
Montmorency	Michigan	5	0	0	0	0%
Gogebic	Michigan	4	0	1	0	25%
Oceana	Michigan	4	0	1	0	25%
Oscoda	Michigan	4	0	0	0	0%
Unassigned	Michigan	4	0	0	0	0%
Benzie	Michigan	4	0	0	0	0%
Alcona	Michigan	4	0	0	0	0%
Dickinson	Michigan	3	0	2	0	66.7%
Schoolcraft	Michigan	3	0	0	0	0%
Houghton	Michigan	2	0	0	0	0%
Menominee	Michigan	2	0	0	0	0%
Lake	Michigan	2	0	0	0	0%
Chippewa	Michigan	1	0	0	0	0%
Luce	Michigan	1	0	0	0	0%
Ontonagon	Michigan	0	0	0	0	0%
Baraga	Michigan	0	0	0	0	0%
Miami-Dade	Florida	10,588	0	270	0	2.6%
Broward	Florida	4,431	0	157	0	3.5%
Palm Beach	Florida	2,554	0	144	0	5.6%
Orange	Florida	1,274	0	29	0	2.3%
Hillsborough	Florida	1,008	0	21	0	2.1%
Duval	Florida	956	0	17	0	1.8%
Lee	Florida	887	0	32	0	3.6%
Pinellas	Florida	656	0	23	0	3.5%
Collier	Florida	507	0	14	0	2.8%
Manatee	Florida	473	0	39	0	8.2%
Osceola	Florida	449	0	7	0	1.6%
Escambia	Florida	420	0	10	0	2.4%
Volusia	Florida	420	0	14	0	3.3%
Polk	Florida	379	0	17	0	4.5%
Seminole	Florida	340	0	7	0	2.1%
Sarasota	Florida	310	0	32	0	10.3%
Clay	Florida	264	0	12	0	4.5%
Brevard	Florida	235	0	8	0	3.4%
Alachua	Florida	231	0	1	0	0.4%
Pasco	Florida	221	0	3	0	1.4%
St. Lucie	Florida	220	0	17	0	7.7%
Lake	Florida	217	0	9	0	4.1%
St. Johns	Florida	200	0	4	0	2%
Leon	Florida	191	0	2	0	1%
Charlotte	Florida	178	0	12	0	6.7%
Martin	Florida	166	0	5	0	3%
Sumter	Florida	166	0	12	0	7.2%
Marion	Florida	145	0	3	0	2.1%
Okaloosa	Florida	141	0	3	0	2.1%
Santa Rosa	Florida	141	0	6	0	4.3%
Flagler	Florida	106	0	2	0	1.9%
Suwannee	Florida	106	0	9	0	8.5%
Citrus	Florida	94	0	9	0	9.6%
Indian River	Florida	88	0	5	0	5.7%
Hernando	Florida	83	0	3	0	3.6%
Putnam	Florida	75	0	1	0	1.3%
Highlands	Florida	74	0	7	0	9.5%
Monroe	Florida	74	0	3	0	4.1%
Gadsden	Florida	69	0	0	0	0%
Bay	Florida	60	0	2	0	3.3%
Hendry	Florida	59	0	2	0	3.4%
Nassau	Florida	48	0	0	0	0%
Columbia	Florida	46	0	0	0	0%
Bradford	Florida	42	0	2	0	4.8%
Madison	Florida	40	0	2	0	5%
Walton	Florida	34	0	0	0	0%
Jefferson	Florida	26	0	1	0	3.8%
DeSoto	Florida	24	0	4	0	16.7%
Baker	Florida	19	0	3	0	15.8%
Wakulla	Florida	17	0	1	0	5.9%
Jackson	Florida	13	0	0	0	0%
Levy	Florida	13	0	0	0	0%
Washington	Florida	10	0	0	0	0%
Holmes	Florida	9	0	0	0	0%
Okeechobee	Florida	9	0	0	0	0%
Calhoun	Florida	6	0	0	0	0%
Hamilton	Florida	6	0	0	0	0%
Glades	Florida	5	0	1	0	20%
Hardee	Florida	5	0	0	0	0%
Dixie	Florida	4	0	0	0	0%
Gilchrist	Florida	4	0	0	0	0%
Union	Florida	3	0	0	0	0%
Taylor	Florida	3	0	0	0	0%
Franklin	Florida	2	0	0	0	0%
Liberty	Florida	2	0	0	0	0%
Gulf	Florida	1	0	0	0	0%
Lafayette	Florida	1	0	0	0	0%
Unassigned	Florida	0	0	0	0	0%
Orleans	Louisiana	6,263	0	387	0	6.2%
Jefferson	Louisiana	5,929	0	306	0	5.2%
