County	State	Comfired	New	Death	County_deaths_new	Fatality_ratio
New York	New York	26,697	3585	450	85	1.7%
Westchester	New York	7,187	1243	10	4	0.1%
Nassau	New York	4,657	743	27	8	0.6%
Suffolk	New York	3,385	650	30	8	0.9%
Rockland	New York	1,457	260	7	0	0.5%
Orange	New York	910	159	4	3	0.4%
Erie	New York	310	89	6	1	1.9%
Dutchess	New York	225	35	1	0	0.4%
Albany	New York	187	16	0	0	0%
Monroe	New York	166	18	4	0	2.4%
Onondaga	New York	123	12	1	0	0.8%
Putnam	New York	111	17	0	0	0%
Ulster	New York	98	20	0	0	0%
Saratoga	New York	82	9	0	0	0%
Schenectady	New York	66	4	1	0	1.5%
Sullivan	New York	64	11	0	0	0%
Tompkins	New York	48	16	0	0	0%
Rensselaer	New York	44	0	0	0	0%
Columbia	New York	27	3	0	0	0%
Niagara	New York	23	9	0	0	0%
Broome	New York	18	2	3	1	16.7%
Madison	New York	17	8	1	0	5.9%
Ontario	New York	14	3	0	0	0%
Oneida	New York	13	0	0	0	0%
Steuben	New York	12	1	0	0	0%
Clinton	New York	11	0	0	0	0%
Wayne	New York	11	3	0	0	0%
Chemung	New York	11	4	0	0	0%
Herkimer	New York	9	2	0	0	0%
Delaware	New York	8	1	0	0	0%
Warren	New York	8	6	0	0	0%
Wyoming	New York	7	0	1	0	14.3%
Greene	New York	6	1	0	0	0%
Genesee	New York	6	2	0	0	0%
Washington	New York	6	2	0	0	0%
Montgomery	New York	5	0	0	0	0%
Essex	New York	5	0	0	0	0%
Otsego	New York	5	2	0	0	0%
Chenango	New York	4	1	0	0	0%
Jefferson	New York	4	0	0	0	0%
Cortland	New York	4	1	0	0	0%
Oswego	New York	4	0	0	0	0%
St. Lawrence	New York	4	0	0	0	0%
Schoharie	New York	3	1	0	0	0%
Livingston	New York	3	0	0	0	0%
Orleans	New York	3	1	0	0	0%
Tioga	New York	2	0	0	0	0%
Allegany	New York	2	0	0	0	0%
Hamilton	New York	2	0	0	0	0%
Cayuga	New York	2	0	0	0	0%
Chautauqua	New York	2	0	0	0	0%
Franklin	New York	2	1	0	0	0%
Fulton	New York	1	0	0	0	0%
Unassigned	New York	0	0	58	33	
Unassigned	New Jersey	1,984	506	82	27	4.1%
Bergen	New Jersey	1,505	299	6	0	0.4%
Essex	New Jersey	826	217	4	0	0.5%
Middlesex	New Jersey	640	135	0	0	0%
Monmouth	New Jersey	634	133	3	0	0.5%
Hudson	New Jersey	594	153	2	0	0.3%
Union	New Jersey	519	87	0	0	0%
Passaic	New Jersey	484	85	7	0	1.4%
Ocean	New Jersey	484	95	1	0	0.2%
Morris	New Jersey	391	76	1	0	0.3%
Somerset	New Jersey	222	43	1	0	0.5%
Mercer	New Jersey	131	20	0	0	0%
Camden	New Jersey	95	22	1	0	1.1%
Burlington	New Jersey	88	24	0	0	0%
Sussex	New Jersey	65	16	0	0	0%
Hunterdon	New Jersey	52	13	0	0	0%
Gloucester	New Jersey	40	7	0	0	0%
Warren	New Jersey	38	7	0	0	0%
Atlantic	New Jersey	14	4	0	0	0%
Cumberland	New Jersey	9	5	0	0	0%
Cape May	New Jersey	7	1	0	0	0%
Salem	New Jersey	3	1	0	0	0%
Los Angeles	California	1,465	235	26	5	1.8%
Santa Clara	California	574	32	20	1	3.5%
San Diego	California	341	0	6	3	1.8%
Orange	California	321	65	3	2	0.9%
San Francisco	California	279	56	3	1	1.1%
San Mateo	California	239	44	6	1	2.5%
Alameda	California	220	42	4	0	1.8%
Riverside	California	183	78	8	0	4.4%
Sacramento	California	164	51	6	1	3.7%
Contra Costa	California	147	16	1	0	0.7%
San Joaquin	California	90	7	3	0	3.3%
Marin	California	65	0	0	0	0%
Ventura	California	61	0	1	0	1.6%
San Luis Obispo	California	59	5	0	0	0%
San Bernardino	California	54	0	3	0	5.6%
Santa Barbara	California	47	15	0	0	0%
Sonoma	California	44	0	1	0	2.3%
Kern	California	41	8	1	1	2.4%
Solano	California	34	0	0	0	0%
Santa Cruz	California	32	0	0	0	0%
Placer	California	30	0	1	0	3.3%
Fresno	California	27	0	0	0	0%
Monterey	California	24	0	1	0	4.2%
Tulare	California	20	0	0	0	0%
Stanislaus	California	17	0	0	0	0%
Imperial	California	17	0	0	0	0%
San Benito	California	13	1	1	0	7.7%
Yolo	California	13	2	1	0	7.7%
Humboldt	California	12	0	0	0	0%
Unassigned	California	12	12	0	0	0%
Madera	California	10	0	0	0	0%
El Dorado	California	9	0	0	0	0%
Nevada	California	8	0	0	0	0%
Mono	California	6	0	0	0	0%
Napa	California	6	0	0	0	0%
Butte	California	5	0	0	0	0%
Merced	California	4	0	0	0	0%
Shasta	California	3	0	1	0	33.3%
Calaveras	California	3	0	0	0	0%
Siskiyou	California	3	0	0	0	0%
Yuba	California	3	0	0	0	0%
Inyo	California	3	1	0	0	0%
Mendocino	California	2	0	0	0	0%
Amador	California	2	0	0	0	0%
Sutter	California	2	0	0	0	0%
King	Washington	1,828	251	125	16	6.8%
Snohomish	Washington	913	135	23	5	2.5%
Pierce	Washington	231	45	5	1	2.2%
Whatcom	Washington	92	6	4	0	4.3%
Skagit	Washington	91	13	1	0	1.1%
Spokane	Washington	86	19	0	0	0%
Island	Washington	79	15	1	0	1.3%
Clark	Washington	76	28	6	1	7.9%
Yakima	Washington	72	6	2	0	2.8%
Grant	Washington	42	9	1	0	2.4%
Kitsap	Washington	42	0	0	0	0%
Benton	Washington	42	23	5	1	11.9%
Thurston	Washington	27	0	0	0	0%
Chelan	Washington	13	1	1	0	7.7%
Franklin	Washington	12	5	0	0	0%
Jefferson	Washington	11	0	0	0	0%
Kittitas	Washington	8	0	0	0	0%
Cowlitz	Washington	7	0	0	0	0%
Lewis	Washington	7	2	0	0	0%
Klickitat	Washington	7	0	0	0	0%
Clallam	Washington	5	0	0	0	0%
Whitman	Washington	5	0	0	0	0%
Adams	Washington	5	0	0	0	0%
Douglas	Washington	5	0	0	0	0%
Stevens	Washington	3	1	0	0	0%
San Juan	Washington	3	1	0	0	0%
Mason	Washington	2	0	0	0	0%
Walla Walla	Washington	2	0	0	0	0%
Okanogan	Washington	2	1	0	0	0%
Grays Harbor	Washington	1	0	0	0	0%
Columbia	Washington	1	0	0	0	0%
Lincoln	Washington	1	0	0	0	0%
Ferry	Washington	1	0	0	0	0%
Skamania	Washington	1	0	0	0	0%
Unassigned	Washington	0	0	0	0	
Wayne	Michigan	1,810	421	37	11	2%
Oakland	Michigan	824	156	26	11	3.2%
Macomb	Michigan	404	57	14	3	3.5%
Washtenaw	Michigan	150	58	3	0	2%
Genesee	Michigan	91	28	4	2	4.4%
Kent	Michigan	45	4	1	0	2.2%
